City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambon,-3.6954,128.1814,27.08,89,40,1.03,ID,1679967071
1,leningradskiy,69.3833,178.4167,-14.55,78,19,2.15,RU,1679967072
2,kapaa,22.0752,-159.319,27.18,80,0,5.66,US,1679967072
3,tuatapere,-46.1333,167.6833,9.75,62,66,5.11,NZ,1679967073
4,toccoa,34.5773,-83.3324,21.8,28,0,2.57,US,1679967000
5,rikitea,-23.1203,-134.9692,26.49,78,85,6.31,PF,1679967073
6,mattru,7.6244,-11.8332,23.98,87,99,0.49,SL,1679967074
7,cherskiy,68.75,161.3,-12.09,78,21,9.34,RU,1679967074
8,butaritari,3.0707,172.7902,27.95,78,100,6.98,KI,1679967075
9,hobyo,5.3505,48.5268,28.37,71,74,5.09,SO,1679967075
10,ushuaia,-54.8,-68.3,1.81,93,100,9.26,AR,1679967076
11,lebu,-37.6167,-73.65,11.93,90,3,2.01,CL,1679967077
12,buraydah,26.326,43.975,14.25,42,0,3.71,SA,1679967078
13,kolo,52.2002,18.6387,-0.12,66,59,4.5,PL,1679967078
14,akyab,20.15,92.9,25.91,70,0,1.79,MM,1679967079
15,nemuro,43.3236,145.575,3.36,69,0,4.33,JP,1679967080
16,ribeira grande,38.5167,-28.7,16.54,83,99,9.39,PT,1679967080
17,thompson,55.7435,-97.8558,-13.91,56,75,4.12,CA,1679966794
18,saldanha,-33.0117,17.9442,17.31,76,0,6.5,ZA,1679967081
19,zirandaro,18.45,-100.9833,30.55,23,100,2.64,MX,1679967082
20,baghdad,33.3406,44.4009,14.95,100,0,3.6,IQ,1679966830
21,port hedland,-20.3167,118.5667,31.03,70,40,2.57,AU,1679967083
22,hermanus,-34.4187,19.2345,16.92,62,0,1.24,ZA,1679967083
23,mahebourg,-20.4081,57.7,24.03,94,20,2.57,MU,1679967084
24,bundi,25.4417,75.6417,22.3,32,3,0.38,IN,1679967084
25,mataura,-46.1927,168.8643,10.82,49,33,4.12,NZ,1679967085
26,punta arenas,-53.15,-70.9167,3.06,81,0,8.23,CL,1679967000
27,mushie,-3.0167,16.9,21.28,99,90,0.32,CD,1679967086
28,bengkulu,-3.8004,102.2655,27.81,72,99,1.1,ID,1679967069
29,port alfred,-33.5906,26.891,16.21,79,7,1.34,ZA,1679967087
30,severo-kurilsk,50.6789,156.125,-0.18,92,100,10.18,RU,1679967088
31,sandpoint,48.2766,-116.5533,7.6,58,0,1.54,US,1679967088
32,saint-philippe,-21.3585,55.7679,22.77,74,5,0.89,RE,1679967089
33,faanui,-16.4833,-151.75,27.99,69,100,4.19,PF,1679967089
34,souillac,-20.5167,57.5167,21.21,94,20,2.57,MU,1679967091
35,vanimo,-2.6741,141.3028,29.84,65,66,2.38,PG,1679967092
36,sola,-13.8833,167.55,28.2,76,37,4.16,VU,1679967092
37,kuytun,54.3419,101.5036,2.57,90,100,3.36,RU,1679967093
38,mehamn,71.0357,27.8492,-3.03,74,100,5.14,NO,1679967093
39,puerto ayora,-0.7393,-90.3518,25.86,97,18,1.34,EC,1679967094
40,busselton,-33.65,115.3333,20.06,45,0,4.46,AU,1679967095
41,buchanan,5.8808,-10.0467,25.58,88,86,1.67,LR,1679967095
42,richards bay,-28.783,32.0377,19.03,67,100,1.34,ZA,1679967096
43,qaanaaq,77.484,-69.3632,-24.46,63,50,3.17,GL,1679967096
44,bluff,-46.6,168.3333,11.0,52,68,9.5,NZ,1679967097
45,saskylakh,71.9167,114.0833,-26.22,97,89,3.82,RU,1679967097
46,udachnyy,66.4167,112.4,-17.53,70,39,2.98,RU,1679967097
47,le pradet,43.1066,6.0172,9.79,44,0,6.17,FR,1679967098
48,caravelas,-17.7125,-39.2481,24.13,84,10,2.14,BR,1679967099
49,airai,-8.9266,125.4092,21.5,73,90,1.08,TL,1679967099
50,broken hill,-31.95,141.4333,22.14,64,100,3.86,AU,1679967100
51,port elizabeth,-33.918,25.5701,16.16,81,0,5.66,ZA,1679966999
52,corn island,12.1694,-83.0418,26.76,78,2,8.64,NI,1679967101
53,mar del plata,-38.0023,-57.5575,18.94,82,0,4.63,AR,1679967101
54,vaini,-21.2,-175.2,24.09,100,75,5.14,TO,1679967102
55,amuntai,-2.4177,115.2494,23.45,99,100,1.1,ID,1679967102
56,dikson,73.5069,80.5464,-26.89,100,99,4.51,RU,1679967103
57,talnakh,69.4865,88.3972,-29.33,99,99,2.03,RU,1679967103
58,shintomi,32.0785,131.4723,15.62,50,48,3.33,JP,1679967104
59,vondrozo,-22.8167,47.2833,17.32,92,88,1.81,MG,1679967104
60,saint george,37.1041,-113.5841,13.33,14,0,1.54,US,1679967104
61,bethel,41.3712,-73.414,6.2,85,100,2.57,US,1679967014
62,yellowknife,62.456,-114.3525,-13.71,47,20,3.6,CA,1679967042
63,rawson,-43.3002,-65.1023,23.62,30,100,7.04,AR,1679967106
64,linxia,35.6003,103.2064,8.48,38,100,1.74,CN,1679967107
65,avarua,-21.2078,-159.775,28.03,83,20,3.6,CK,1679967107
66,hobart,-42.8794,147.3294,15.14,94,75,2.06,AU,1679966918
67,bull savanna,17.8868,-77.5902,22.62,80,0,4.59,JM,1679967108
68,atuona,-9.8,-139.0333,27.04,76,100,5.34,PF,1679966904
69,clyde river,70.4692,-68.5914,-29.87,76,0,1.03,CA,1679966819
70,geraldton,-28.7667,114.6,27.23,47,75,9.26,AU,1679967109
71,roald,62.5833,6.1333,-0.14,69,5,6.69,NO,1679967110
72,hithadhoo,-0.6,73.0833,28.21,75,100,3.67,MV,1679967110
73,tuktoyaktuk,69.4541,-133.0374,-3.0,93,75,6.17,CA,1679967112
74,bubaque,11.2833,-15.8333,25.29,71,77,4.01,GW,1679967112
75,brigantine,39.4101,-74.3646,10.01,94,100,5.14,US,1679967113
76,lagoa,39.05,-27.9833,15.33,78,99,13.17,PT,1679967114
77,lorengau,-2.0226,147.2712,29.62,68,76,2.27,PG,1679967114
78,albany,42.6001,-73.9662,4.73,88,100,1.77,US,1679967010
79,luderitz,-26.6481,15.1594,15.81,89,8,1.18,NA,1679967115
80,pimentel,-6.8367,-79.9342,27.16,69,100,4.12,PE,1679967116
81,santa luzia,-19.7697,-43.8514,26.5,65,0,4.63,BR,1679967116
82,hilo,19.7297,-155.09,27.38,81,20,7.2,US,1679967037
83,puerto escondido,15.85,-97.0667,28.46,65,75,2.57,MX,1679967117
84,provideniya,64.3833,-173.3,-10.91,57,20,6.0,RU,1679967118
85,new norfolk,-42.7826,147.0587,14.95,77,100,0.45,AU,1679967118
86,kongsberg,59.6652,9.6465,-5.32,96,19,1.45,NO,1679967119
87,fortuna,40.5982,-124.1573,10.19,74,100,6.71,US,1679967119
88,barrow,71.2906,-156.7887,-12.99,72,40,11.32,US,1679967121
89,moindou,-21.6924,165.677,26.97,76,100,5.32,NC,1679967121
90,kirakira,-10.4544,161.9205,29.4,74,100,2.76,SB,1679967121
91,san quintin,30.4833,-115.95,15.04,65,0,3.91,MX,1679967122
92,upernavik,72.7868,-56.1549,-29.13,97,44,3.35,GL,1679967123
93,kalispell,48.1958,-114.3129,4.82,52,20,5.14,US,1679967123
94,bayshore gardens,27.4253,-82.5904,24.46,72,75,2.57,US,1679967124
95,abu dhabi,24.4667,54.3667,25.06,70,0,3.6,AE,1679967096
96,ko samui,9.5357,99.9357,28.95,65,20,5.14,TH,1679967125
97,corinto,37.9407,22.9573,16.05,69,0,4.88,GR,1679967126
98,cape town,-33.9258,18.4232,19.95,54,0,0.51,ZA,1679967000
99,hambantota,6.1241,81.1185,26.6,76,82,2.06,LK,1679967127
100,bad aussee,47.61,13.7824,0.51,95,100,4.24,AT,1679967127
101,bitung,1.4451,125.1824,31.47,73,100,0.7,ID,1679967128
102,kahului,20.8947,-156.47,29.01,62,20,5.66,US,1679967001
103,pevek,69.7008,170.3133,-17.71,76,8,7.12,RU,1679967130
104,saint-pierre,-21.3393,55.4781,22.82,56,0,4.12,RE,1679967130
105,chokurdakh,70.6333,147.9167,-14.55,92,84,3.5,RU,1679967131
106,ostrovnoy,68.0531,39.5131,-9.45,84,99,3.32,RU,1679967132
107,bredasdorp,-34.5322,20.0403,14.58,70,0,0.94,ZA,1679967132
108,santa maria,-29.6842,-53.8069,17.61,82,0,1.03,BR,1679967133
109,haines junction,60.7522,-137.5108,1.97,27,99,2.06,CA,1679967133
110,whitecourt,54.1502,-115.6855,-2.42,39,0,6.69,CA,1679967133
111,inhambane,-23.865,35.3833,23.34,57,100,6.17,MZ,1679967134
112,cockburn town,21.4612,-71.1419,25.31,79,0,8.59,TC,1679967132
113,zarate,-34.0981,-59.0286,19.52,69,100,3.04,AR,1679967135
114,longyearbyen,78.2186,15.6401,-15.09,61,20,0.51,SJ,1679967136
115,nikolskoye,59.7035,30.7861,-1.06,98,100,0.5,RU,1679967136
116,xining,36.6167,101.7667,4.84,44,55,1.42,CN,1679967137
117,kaitangata,-46.2817,169.8464,10.65,47,33,7.09,NZ,1679967138
118,sitka,57.0531,-135.33,7.94,53,0,7.2,US,1679966977
119,yataity del norte,-24.8333,-56.35,20.39,71,3,1.67,PY,1679967138
120,kruisfontein,-34.0033,24.7314,11.6,78,30,2.57,ZA,1679966967
121,gizo,-8.103,156.8419,28.92,75,84,3.72,SB,1679967139
122,rocha,-34.4833,-54.3333,14.68,89,0,2.94,UY,1679966883
123,chapais,49.7834,-74.8492,-6.12,95,100,2.97,CA,1679967140
124,ahipara,-35.1667,173.1667,21.31,62,54,2.86,NZ,1679967141
125,orito,0.6766,-76.8771,21.03,95,98,1.11,CO,1679967142
126,tucumcari,35.1717,-103.725,11.64,13,0,7.2,US,1679967142
127,los llanos de aridane,28.6585,-17.9182,18.86,28,0,3.6,ES,1679967143
128,broome,42.2506,-75.833,4.45,94,100,3.09,US,1679967143
129,changji,44.0167,87.3167,8.44,49,0,1.0,CN,1679967144
130,kavieng,-2.5744,150.7967,29.03,67,75,1.66,PG,1679967145
131,carnarvon,-24.8667,113.6333,24.79,69,100,3.55,AU,1679967145
132,almeirim,-1.5233,-52.5817,23.26,96,100,0.46,BR,1679967090
133,mareeba,-17.0,145.4333,29.16,46,5,2.85,AU,1679967146
134,namibe,-15.1961,12.1522,23.28,92,100,1.24,AO,1679967147
135,bilma,18.6853,12.9164,21.94,18,1,2.16,NE,1679967148
136,comodoro rivadavia,-45.8667,-67.5,13.97,37,76,14.27,AR,1679967110
137,rorvik,64.8621,11.2373,-5.94,73,29,2.06,NO,1679967149
138,requena,39.4883,-1.1004,7.11,48,0,0.84,ES,1679967097
139,pangkalanbuun,-2.6833,111.6167,23.62,91,100,1.66,ID,1679967150
140,paamiut,61.994,-49.6678,-9.76,75,10,3.31,GL,1679967151
141,jamestown,42.097,-79.2353,2.51,97,100,4.63,US,1679967151
142,dicabisagan,17.0818,122.4157,27.45,72,12,2.42,PH,1679967152
143,ilulissat,69.2167,-51.1,-15.99,85,50,3.09,GL,1679967152
144,yar-sale,66.8333,70.8333,-21.72,100,100,3.43,RU,1679967153
145,laguna,38.421,-121.4238,17.09,37,0,4.12,US,1679967139
146,petropavlovsk-kamchatskiy,53.0452,158.6483,2.33,56,20,13.0,RU,1679967154
147,gamba,-2.65,10.0,24.73,89,100,0.96,GA,1679967154
148,victoria,22.2855,114.1577,19.07,87,100,4.02,HK,1679967070
149,ponta do sol,32.6667,-17.1,20.62,22,3,2.32,PT,1679967155
150,lerwick,60.1545,-1.1494,5.0,91,94,5.51,GB,1679967156
151,galesong,-5.3166,119.3661,28.01,74,100,1.46,ID,1679967156
152,great bend,38.3645,-98.7648,6.07,52,100,3.09,US,1679967157
153,alofi,-19.0595,-169.9187,28.94,79,100,1.54,NU,1679967158
154,san juan,-31.5375,-68.5364,25.01,54,0,4.42,AR,1679967158
155,puerto suarez,-18.95,-57.8,23.77,86,8,0.5,BO,1679967159
156,ballina,-28.8667,153.5667,29.88,63,95,2.41,AU,1679967159
157,namatanai,-3.6667,152.4333,29.46,67,99,1.28,PG,1679967160
158,imeni babushkina,59.7573,43.1285,-6.71,98,63,1.63,RU,1679967160
159,sigli,5.3848,95.9609,27.32,80,99,1.08,ID,1679967161
160,berlevag,70.8578,29.0864,-3.0,86,100,7.72,NO,1679967161
161,lincoln,40.8,-96.667,3.72,59,100,4.12,US,1679967116
162,sorland,67.667,12.6934,-2.08,59,35,3.45,NO,1679967162
163,yulara,-25.2406,130.9889,30.27,37,40,2.54,AU,1679967163
164,necochea,-38.5473,-58.7368,19.12,39,0,7.56,AR,1679967163
165,vao,-22.6667,167.4833,25.12,81,100,7.36,NC,1679967164
166,adrar,20.5022,-10.0711,23.88,15,42,3.41,MR,1679967165
167,almaznyy,48.0448,40.045,5.34,89,100,1.79,RU,1679967165
168,itarema,-2.9248,-39.9167,24.22,88,86,1.37,BR,1679967166
169,ciudad bolivar,8.1222,-63.5497,28.37,49,100,7.03,VE,1679967166
170,kodiak,57.79,-152.4072,5.73,61,0,2.06,US,1679967167
171,kailua,21.4022,-157.7394,27.3,78,100,3.09,US,1679967167
172,viedma,-40.8135,-62.9967,25.38,44,1,9.06,AR,1679967133
173,samarai,-10.6167,150.6667,29.55,67,89,5.66,PG,1679967168
174,aluksne,57.4167,27.05,-2.03,80,100,1.7,LV,1679967169
175,goderich,43.7501,-81.7165,2.73,87,100,3.09,CA,1679967169
176,tiksi,71.6872,128.8694,-19.03,91,81,3.75,RU,1679967170
177,houma,29.5958,-90.7195,24.44,89,75,2.06,US,1679967170
178,khatanga,71.9667,102.5,-26.51,96,99,4.68,RU,1679967171
179,kingaroy,-26.5333,151.8333,31.01,42,82,1.1,AU,1679967171
180,alihe,50.5667,123.7167,4.5,53,4,2.21,CN,1679967172
181,sorong,-0.8833,131.25,25.8,86,100,3.88,ID,1679967173
182,hasaki,35.7333,140.8333,10.68,73,100,9.37,JP,1679967174
183,fare,-16.7,-151.0167,28.03,67,100,3.66,PF,1679967174
184,valenca,-13.3703,-39.0731,21.02,90,16,1.19,BR,1679967175
185,mount gambier,-37.8333,140.7667,18.36,58,79,1.81,AU,1679967175
186,hamilton,39.1834,-84.5333,8.81,78,75,3.6,US,1679967161
187,senno,59.5336,33.9167,-1.39,94,100,1.24,RU,1679967176
188,ibra,22.6906,58.5334,20.93,64,2,0.84,OM,1679967177
189,nova vicosa,-17.8919,-39.3719,24.79,83,10,3.67,BR,1679967177
190,castro,-24.7911,-50.0119,14.92,99,12,3.19,BR,1679967178
191,santiago de cao,-7.9589,-79.2392,25.07,83,75,3.6,PE,1679967178
192,fairbanks,64.8378,-147.7164,3.23,62,100,2.06,US,1679966920
193,tabou,4.423,-7.3528,25.54,90,90,1.39,CI,1679967179
194,puerto madryn,-42.7692,-65.0385,24.55,19,100,4.96,AR,1679966987
195,ancud,-41.8697,-73.8203,10.21,85,36,3.78,CL,1679967180
196,iqaluit,63.7506,-68.5145,-8.15,86,100,4.63,CA,1679966997
197,meulaboh,4.1363,96.1285,26.6,83,86,3.37,ID,1679967181
198,arraial do cabo,-22.9661,-42.0278,22.98,94,100,2.06,BR,1679967132
199,east london,-33.0153,27.9116,16.92,69,59,6.94,ZA,1679967182
200,warrington,53.3925,-2.5802,7.06,74,100,4.63,GB,1679967183
201,cap malheureux,-19.9842,57.6142,24.15,79,2,1.34,MU,1679967183
202,naze,28.3667,129.4833,18.51,58,74,5.13,JP,1679967183
203,baker city,44.7749,-117.8344,4.84,38,20,7.72,US,1679967184
204,japura,-0.3167,102.35,26.36,82,99,0.27,ID,1679967185
205,aksarka,66.5606,67.7975,-25.13,100,99,2.77,RU,1679967185
206,karasburg,-28.0167,18.75,19.82,31,0,4.37,NA,1679967186
207,orthez,43.4884,-0.7724,8.76,93,93,2.05,FR,1679967186
208,deputatskiy,69.3,139.9,-13.46,90,100,2.02,RU,1679967187
209,belfast,54.5833,-5.9333,7.43,81,75,5.14,GB,1679967080
210,quelimane,-17.8786,36.8883,22.28,87,70,1.81,MZ,1679967188
211,husavik,66.0449,-17.3389,-7.83,86,73,5.44,IS,1679967188
212,katsuura,35.1333,140.3,12.27,80,100,7.88,JP,1679967189
213,esperance,-33.8667,121.9,18.48,53,23,4.75,AU,1679967189
214,hofn,64.2539,-15.2082,-2.71,73,100,7.53,IS,1679967190
215,san patricio,28.017,-97.5169,25.1,86,60,3.69,US,1679967190
216,laurel,39.0993,-76.8483,13.13,88,40,1.54,US,1679967008
217,nanortalik,60.1432,-45.2371,-3.15,75,4,2.31,GL,1679967192
218,half moon bay,37.4636,-122.4286,15.51,60,0,5.66,US,1679967192
219,tasiilaq,65.6145,-37.6368,-8.91,75,100,3.23,GL,1679967193
220,kambove,-10.8764,26.5969,15.65,98,100,0.82,CD,1679967193
221,yataity,-26.3667,-56.0667,18.49,55,1,1.4,PY,1679967194
222,noumea,-22.2763,166.4572,28.99,77,100,4.91,NC,1679967194
223,bafoulabe,13.8065,-10.8321,30.18,10,6,2.62,ML,1679967195
224,thinadhoo,0.5333,72.9333,28.1,75,97,3.23,MV,1679967195
225,arlit,18.7369,7.3853,22.16,16,0,2.99,NE,1679967125
226,bairiki,1.3292,172.9752,32.0,70,20,3.09,KI,1679967196
227,atambua,-9.1061,124.8925,27.6,70,100,0.02,ID,1679967197
228,bathsheba,13.2167,-59.5167,26.34,69,40,8.23,BB,1679967198
229,enid,36.3956,-97.8784,10.82,45,0,3.09,US,1679967014
230,bambous virieux,-20.3428,57.7575,24.01,94,20,2.57,MU,1679967199
231,georgetown,5.4112,100.3354,28.96,89,20,0.51,MY,1679967199
232,miri,4.4148,114.0089,28.08,89,40,1.03,MY,1679967003
233,viloco,-16.95,-67.55,6.27,86,90,1.08,BO,1679967200
234,gwanda,-20.9333,29.0,15.38,87,100,6.31,ZW,1679967201
235,mahanoro,-19.9,48.8,24.1,89,95,1.74,MG,1679967201
236,cruzilia,-21.8386,-44.8083,17.6,97,100,2.31,BR,1679967202
237,rio verde de mato grosso,-18.9181,-54.8442,23.63,81,84,1.62,BR,1679967202
238,jiazi,22.8779,116.067,16.99,77,100,7.34,CN,1679967203
239,port hardy,50.6996,-127.4199,10.1,50,20,3.09,CA,1679967204
240,pochutla,15.7432,-96.4661,24.48,74,0,0.42,MX,1679967204
241,hirara,24.8,125.2833,20.92,83,75,9.77,JP,1679967205
242,muborak,39.2553,65.1528,18.41,36,100,4.53,UZ,1679967206
243,makakilo city,21.3469,-158.0858,26.49,72,75,4.12,US,1679967206
244,saint-augustin,51.226,-58.6502,0.97,84,100,4.02,CA,1679967207
245,srednekolymsk,67.45,153.6833,-8.29,73,1,6.17,RU,1679967207
246,corner brook,48.9667,-57.9484,0.09,99,100,0.93,CA,1679967012
247,whitehorse,60.7161,-135.0538,3.39,38,100,3.6,CA,1679967153
248,salalah,17.0151,54.0924,27.05,83,75,5.14,OM,1679967209
249,aswan,24.0934,32.907,18.61,27,0,3.09,EG,1679967209
250,santa rosa,14.3122,121.1114,31.72,59,96,3.59,PH,1679967210
251,maku,39.2911,44.4521,8.05,80,24,1.12,IR,1679967211
252,barcelona,41.3888,2.159,14.36,84,75,0.51,ES,1679967021
253,torbay,47.6666,-52.7314,1.43,95,100,7.72,CA,1679967212
254,dudinka,69.4058,86.1778,-29.1,99,97,1.25,RU,1679967212
255,guilin,25.2819,110.2864,13.06,76,100,1.73,CN,1679967213
256,buala,-8.145,159.5921,29.84,69,100,4.49,SB,1679967213
257,omboue,-1.5746,9.2618,25.25,88,100,1.71,GA,1679967214
258,le marin,14.4721,-60.8697,24.95,69,40,7.2,MQ,1679967135
259,sao gabriel da cachoeira,-0.1303,-67.0892,23.29,98,100,0.65,BR,1679967214
260,chuy,-33.6971,-53.4616,17.12,77,0,3.54,UY,1679967215
261,ishigaki,24.3448,124.1572,20.07,88,75,10.29,JP,1679967216
262,portland,45.5234,-122.6762,12.99,44,100,6.17,US,1679967130
263,itoman,26.1247,127.6694,21.43,56,75,6.69,JP,1679967216
264,manggar,-2.8833,108.2667,27.45,81,100,2.93,ID,1679967217
265,qaqortoq,60.7167,-46.0333,-6.66,76,8,3.79,GL,1679967217
266,lavrentiya,65.5833,-171.0,-16.09,81,4,3.86,RU,1679967218
267,mildura,-34.2,142.15,23.37,78,20,3.07,AU,1679967218
268,cayenne,4.9333,-52.3333,24.02,88,20,2.06,GF,1679967219
269,lixourion,38.2019,20.4314,13.15,69,3,10.68,GR,1679967219
270,taoudenni,22.6783,-3.9836,29.29,15,81,4.43,ML,1679967220
271,pechenga,69.5259,31.1703,-15.81,97,57,2.67,RU,1679967221
272,gilgit,35.9221,74.3087,7.5,55,18,1.95,PK,1679967221
273,mackenzie,55.2999,-123.1698,3.12,30,0,2.57,CA,1679967222
274,svetlaya,46.5389,138.3297,6.7,40,4,3.1,RU,1679967222
275,seoul,37.5683,126.9778,10.76,46,72,1.03,KR,1679966926
276,bennettsville,34.6174,-79.6848,19.31,94,0,2.06,US,1679967223
277,te anau,-45.4167,167.7167,7.95,71,46,3.19,NZ,1679967224
